# Time-averaged data for fix myat2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7]
50000 200
105 7.8375 13.7705 1.04074 8.4733 22.1525 16.0469 1.7558
106 7.9125 12.5221 1.0666 8.16055 22.634 15.2178 1.78812
107 7.9875 12.321 1.09253 8.10041 23.1211 14.4426 1.81939
108 8.0625 12.1641 1.11861 7.94599 23.6079 14.0523 1.85038
109 8.1375 10.9173 1.14246 7.74389 24.0912 12.9661 1.87951
110 8.2125 11.2744 1.16754 7.56705 24.5722 13.2159 1.90976
111 8.2875 10.7709 1.19194 7.45849 25.055 12.4295 1.93872
112 8.3625 12.8122 1.2215 7.32615 25.5379 10.7442 1.96422
113 8.4375 12.4435 1.25072 7.37306 26.0326 10.0365 1.98846
114 8.5125 13.2421 1.28237 7.31448 26.5321 9.27577 2.01126
115 8.5875 14.3535 1.31729 7.23663 27.0351 8.35677 2.03217
116 8.6625 13.7132 1.35124 7.33683 27.554 7.74082 2.05188
117 8.7375 15.012 1.38904 7.37906 28.0849 7.9463 2.07247
118 8.8125 13.3968 1.42336 7.47164 28.6318 8.20431 2.09408
119 8.8875 11.919 1.45442 7.56314 29.1948 9.07441 2.1184
120 8.9625 11.0127 1.4836 7.55386 29.7667 10.3399 2.14658
121 9.0375 9.88215 1.51022 7.53988 30.3471 11.026 2.17714
122 9.1125 10.5771 1.53919 7.41246 30.9272 12.1713 2.21143
123 9.1875 9.36258 1.56526 7.43789 31.519 11.7431 2.24506
124 9.2625 8.22024 1.58853 7.35898 32.114 11.4654 2.27844
125 9.3375 8.74064 1.61367 7.46569 32.7275 11.7843 2.3133
126 9.4125 7.96508 1.63694 7.50213 33.3539 11.5903 2.34814
127 9.4875 8.37289 1.66181 7.52389 33.9922 12.8403 2.38735
128 9.5625 7.52837 1.68451 7.51261 34.6397 13.0471 2.42783
129 9.6375 7.75617 1.70828 7.52442 35.2983 13.5588 2.47056
130 9.7125 7.72612 1.73232 7.588 35.973 14.294 2.51631
131 9.7875 7.74441 1.75679 7.58814 36.6581 14.1676 2.56236
132 9.8625 7.68335 1.78144 7.51082 37.3466 13.9824 2.60851
133 9.9375 7.70425 1.80654 7.40109 38.0355 13.0261 2.65215
134 10.0125 7.69006 1.83197 7.3373 38.7287 12.9398 2.69617
135 10.0875 8.03128 1.85893 7.22823 39.4219 12.2976 2.73862
136 10.1625 9.15254 1.89011 7.03197 40.1064 11.1239 2.7776
137 10.2375 9.74205 1.92379 6.97347 40.7952 10.4733 2.81485
138 10.3125 10.456 1.96047 6.94121 41.4909 9.80377 2.85022
139 10.3875 10.4305 1.9976 6.87623 42.1902 9.05381 2.88337
140 10.4625 10.2084 2.03446 6.7747 42.8891 8.35232 2.91439
141 10.5375 9.75643 2.07019 6.68478 43.5887 7.50207 2.94265
142 10.6125 7.77971 2.0991 6.57506 44.2866 7.25284 2.97037
143 10.6875 7.21382 2.12628 6.61353 44.9986 7.0439 2.99767
144 10.7625 6.92824 2.15275 6.64006 45.7235 7.46556 3.02701
145 10.8375 6.74665 2.17889 6.63329 46.4578 7.07331 3.05519
146 10.9125 6.53048 2.20454 6.7765 47.2183 6.92658 3.08318
147 10.9875 6.12077 2.22892 6.83298 47.9958 7.21041 3.11272
148 11.0625 5.65272 2.25174 6.77545 48.7773 7.34043 3.14319
149 11.1375 6.20819 2.27714 6.72953 49.564 7.6478 3.17538
150 11.2125 7.25405 2.30722 6.63078 50.3497 8.55031 3.21185
151 11.2875 7.23728 2.33764 6.57846 51.1396 8.72623 3.24958
152 11.3625 8.52807 2.37396 6.53659 51.935 8.83018 3.28826
153 11.4375 9.84242 2.41643 6.42896 52.7276 8.94162 3.32794
154 11.5125 10.1403 2.46076 6.38755 53.5255 9.33202 3.36991
155 11.5875 9.20669 2.50154 6.36934 54.3316 9.70397 3.41412
156 11.6625 10.0731 2.54674 6.29721 55.1388 9.24098 3.45676
