# Time-averaged data for fix myat1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11]
50000 200
156 11.6625 2.65584 2.58698 2.22814 28.8623 2.89936 2.94103 1.63451 49.3164 0.958349 26.9553
157 11.7375 2.77285 2.62604 2.17383 29.2532 2.93736 2.98329 1.62993 50.4792 0.962651 27.642
158 11.8125 2.85968 2.66684 2.14363 29.6437 2.79688 3.02405 1.6204 51.6499 0.96706 28.3407
159 11.8875 2.95923 2.7096 2.12836 30.0363 2.86017 3.06626 1.63346 52.8451 0.97236 29.0522
160 11.9625 2.98489 2.75328 2.12593 30.4334 2.79166 3.10797 1.65245 54.0696 0.980655 29.7788
161 12.0375 3.35838 2.80304 2.11645 30.8338 2.61724 3.14758 1.67234 55.3243 0.982436 30.5159
162 12.1125 3.34261 2.85319 2.0516 31.2267 2.42957 3.1848 1.66785 56.5913 0.986992 31.2657
163 12.1875 3.4127 2.90502 2.04614 31.6234 2.33697 3.22105 1.61458 57.8331 0.99269 32.0292
164 12.2625 3.18342 2.95397 2.03987 32.0238 2.24545 3.25631 1.58444 59.0668 0.99584 32.8046
165 12.3375 3.40183 3.00692 2.03173 32.4275 2.15205 3.29052 1.57996 60.3121 0.998864 33.5919
166 12.4125 3.40911 3.06062 2.01536 32.8328 2.16723 3.32539 1.58661 61.5778 1.00206 34.3913
167 12.4875 3.39246 3.11472 2.00878 33.2417 2.20524 3.3613 1.59489 62.8656 1.00783 35.205
168 12.5625 3.62641 3.17324 2.01121 33.6561 1.99949 3.39426 1.56882 64.1476 1.01242 36.0324
169 12.6375 3.42658 3.2292 1.96855 34.0665 1.98051 3.42729 1.55723 65.4354 1.01924 36.8752
170 12.7125 3.38374 3.28511 1.92405 34.4723 1.84735 3.45846 1.54122 66.7251 1.02427 37.7323
171 12.7875 3.24387 3.33935 1.92951 34.8842 1.70404 3.48756 1.52019 68.0122 1.03093 38.6052
172 12.8625 3.39395 3.39677 1.88781 35.2919 1.72221 3.51732 1.48442 69.2839 1.0376 39.4941
173 12.9375 3.20865 3.45169 1.86651 35.6997 1.74134 3.54776 1.5039 70.5873 1.04458 40.3995
174 13.0125 3.15793 3.50636 1.84265 36.107 1.75107 3.57872 1.49571 71.8987 1.05215 41.3219
175 13.0875 2.93449 3.55776 1.80585 36.5108 1.69408 3.60902 1.50515 73.2336 1.06018 42.2622
176 13.1625 2.96935 3.61036 1.80006 36.9179 1.63107 3.63853 1.51137 74.5894 1.06934 43.2215
177 13.2375 2.67361 3.65827 1.79202 37.3278 1.60553 3.66791 1.54508 75.9913 1.07692 44.1986
178 13.3125 2.67634 3.70677 1.76288 37.7356 1.61225 3.69775 1.53691 77.4017 1.08241 45.1919
179 13.3875 2.55549 3.7536 1.78121 38.1523 1.60537 3.7278 1.5202 78.8125 1.08691 46.2006
180 13.4625 2.69235 3.8035 1.77978 38.5734 1.60074 3.75809 1.53154 80.2498 1.09128 47.2247
181 13.5375 2.88828 3.85763 1.73529 38.9885 1.59176 3.78856 1.54618 81.717 1.09898 48.2676
182 13.6125 2.70151 3.90881 1.72434 39.4056 1.66228 3.82072 1.55348 83.2075 1.10767 49.3304
